time,release_time,ready_time,deadline,location,assigned_courier,pickup_time
320,292.7551701541625,302.7551701541625,332.7551701541625,11,30.0,328.0
320,293.5102897095316,303.5102897095316,333.5102897095316,14,11.0,333.0
320,295.1277824849346,305.1277824849346,335.1277824849346,3,,
320,300.53008773618564,310.53008773618564,340.53008773618564,10,12.0,338.0
320,302.17636772995365,312.17636772995365,342.17636772995365,15,,
320,306.72910486703125,316.72910486703125,346.72910486703125,4,,
320,312.23894133570974,322.23894133570974,352.23894133570974,5,22.0,348.0
325,285.15839891948315,295.15839891948315,325.15839891948315,8,14.0,323.0
325,292.7551701541625,302.7551701541625,332.7551701541625,11,30.0,328.0
325,293.5102897095316,303.5102897095316,333.5102897095316,14,11.0,333.0
325,295.1277824849346,305.1277824849346,335.1277824849346,3,,
325,300.53008773618564,310.53008773618564,340.53008773618564,10,12.0,338.0
325,302.17636772995365,312.17636772995365,342.17636772995365,15,,
325,306.72910486703125,316.72910486703125,346.72910486703125,4,,
325,312.23894133570974,322.23894133570974,352.23894133570974,5,22.0,348.0
325,323.61773680356566,333.61773680356566,363.61773680356566,7,21.0,357.61773680356566
330,292.7551701541625,302.7551701541625,332.7551701541625,11,30.0,328.0
330,293.5102897095316,303.5102897095316,333.5102897095316,14,11.0,333.0
330,295.1277824849346,305.1277824849346,335.1277824849346,3,,
330,300.53008773618564,310.53008773618564,340.53008773618564,10,12.0,338.0
330,302.17636772995365,312.17636772995365,342.17636772995365,15,,
330,306.72910486703125,316.72910486703125,346.72910486703125,4,,
330,312.23894133570974,322.23894133570974,352.23894133570974,5,22.0,348.0
330,323.61773680356566,333.61773680356566,363.61773680356566,7,21.0,357.61773680356566
330,326.8667702164911,336.8667702164911,366.8667702164911,7,,
335,295.1277824849346,305.1277824849346,335.1277824849346,3,,
335,300.53008773618564,310.53008773618564,340.53008773618564,10,12.0,338.0
335,302.17636772995365,312.17636772995365,342.17636772995365,15,,
335,306.72910486703125,316.72910486703125,346.72910486703125,4,,
335,312.23894133570974,322.23894133570974,352.23894133570974,5,22.0,348.0
335,323.61773680356566,333.61773680356566,363.61773680356566,7,21.0,357.61773680356566
335,326.8667702164911,336.8667702164911,366.8667702164911,7,17.0,363.0
335,331.3759424579739,341.3759424579739,371.3759424579739,15,18.0,365.3759424579739
340,300.53008773618564,310.53008773618564,340.53008773618564,10,12.0,338.0
340,302.17636772995365,312.17636772995365,342.17636772995365,15,,
340,306.72910486703125,316.72910486703125,346.72910486703125,4,,
340,312.23894133570974,322.23894133570974,352.23894133570974,5,22.0,348.0
340,323.61773680356566,333.61773680356566,363.61773680356566,7,21.0,357.61773680356566
340,326.8667702164911,336.8667702164911,366.8667702164911,7,17.0,363.0
340,331.3759424579739,341.3759424579739,371.3759424579739,15,18.0,365.3759424579739
340,339.26435104905437,349.26435104905437,379.26435104905437,5,24.0,373.26435104905437
345,306.72910486703125,316.72910486703125,346.72910486703125,4,,
345,312.23894133570974,322.23894133570974,352.23894133570974,5,22.0,348.0
345,323.61773680356566,333.61773680356566,363.61773680356566,7,21.0,357.61773680356566
345,326.8667702164911,336.8667702164911,366.8667702164911,7,17.0,363.0
